date,station,PM2.5,PM10,NO2,SO2,CO,O3,O3
2023-01-01,Chennai_Alandur_2023-10-01_2023-11-30,79.7661111111111,122.72527777777778,32.642291666666665,20.387604166666666,0.9627430555555555,28.797256944444445,28.797256944444445
2023-01-01,Delhi_AnandVihar_2023-10-01_2023-11-30,159.89930555555557,301.3541666666667,94.83749999999999,14.387152777777779,2.491319444444444,13.366666666666667,13.366666666666667
2023-01-01,Kolkata_Victoria_2023-10-01_2023-11-30,130.07534722222223,160.6392361111111,13.776874999999999,7.898159722222222,1.0759027777777777,63.1871875,63.1871875
2023-01-01,Mumbai_Bandra_2023-10-01_2023-11-30,,,,,,,
2023-01-02,Chennai_Alandur_2023-10-01_2023-11-30,65.26791666666666,100.41211805555555,27.49361111111111,18.67329861111111,0.8933680555555555,24.59670138888889,24.59670138888889
2023-01-02,Delhi_AnandVihar_2023-10-01_2023-11-30,245.54166666666666,389.375,73.71979166666667,14.534374999999999,1.9312500000000001,11.221874999999999,11.221874999999999
2023-01-02,Kolkata_Victoria_2023-10-01_2023-11-30,107.29166666666667,143.59375,13.793993055555555,7.299305555555556,1.1074305555555555,42.61802083333333,42.61802083333333
2023-01-02,Mumbai_Bandra_2023-10-01_2023-11-30,,,,,,,
2023-01-03,Chennai_Alandur_2023-10-01_2023-11-30,77.22159722222223,118.80402777777778,31.605173611111113,17.352708333333336,0.9280555555555555,31.21857638888889,31.21857638888889
2023-01-03,Delhi_AnandVihar_2023-10-01_2023-11-30,270.9583333333333,417.46875,72.07083333333334,13.596874999999999,2.0506944444444444,9.978125,9.978125
2023-01-03,Kolkata_Victoria_2023-10-01_2023-11-30,128.27916666666667,166.37986111111113,13.8928125,7.596076388888889,1.3204166666666668,33.91229166666667,33.91229166666667
2023-01-03,Mumbai_Bandra_2023-10-01_2023-11-30,,,,,,,
2023-01-04,Chennai_Alandur_2023-10-01_2023-11-30,79.0240625,121.55746527777778,40.67972222222222,19.118576388888886,0.7808680555555556,41.94368055555555,41.94368055555555
2023-01-04,Delhi_AnandVihar_2023-10-01_2023-11-30,247.57291666666666,385.90625,76.059375,16.071527777777778,2.330208333333333,9.792708333333334,9.792708333333334
2023-01-04,Kolkata_Victoria_2023-10-01_2023-11-30,102.9079861111111,138.83993055555555,13.730590277777779,8.982430555555556,0.9361111111111112,37.631388888888885,37.631388888888885
2023-01-04,Mumbai_Bandra_2023-10-01_2023-11-30,,,,,,,
2023-01-05,Chennai_Alandur_2023-10-01_2023-11-30,67.05749999999999,103.16423611111111,38.564236111111114,17.419652777777777,0.808125,70.5579513888889,70.5579513888889
2023-01-05,Delhi_AnandVihar_2023-10-01_2023-11-30,320.47222222222223,509.0104166666667,97.98125,19.147916666666667,2.465277777777778,9.269791666666666,9.269791666666666
2023-01-05,Kolkata_Victoria_2023-10-01_2023-11-30,117.48715277777778,156.25381944444445,13.776319444444445,10.847361111111113,1.0909375000000001,43.769826388888895,43.769826388888895
2023-01-05,Mumbai_Bandra_2023-10-01_2023-11-30,,,,,,,
2023-01-06,Chennai_Alandur_2023-10-01_2023-11-30,76.74243055555556,118.07909722222223,47.341145833333336,16.24864583333333,0.7486111111111112,53.29857638888888,53.29857638888888
2023-01-06,Delhi_AnandVihar_2023-10-01_2023-11-30,350.15625,547.0104166666666,139.509375,15.855555555555554,2.262152777777778,9.436458333333333,9.436458333333333
2023-01-06,Kolkata_Victoria_2023-10-01_2023-11-30,113.83541666666667,155.96979166666668,13.808472222222221,8.613888888888889,0.9773611111111111,40.68364583333334,40.68364583333334
2023-01-06,Mumbai_Bandra_2023-10-01_2023-11-30,,,,,,,
2023-01-07,Chennai_Alandur_2023-10-01_2023-11-30,92.73916666666666,142.67211805555556,52.150277777777774,22.903263888888887,0.8446180555555555,40.98111111111111,40.98111111111111
2023-01-07,Delhi_AnandVihar_2023-10-01_2023-11-30,322.1521739130435,464.0833333333333,111.54642857142856,15.714492753623189,2.293840579710145,9.367391304347825,9.367391304347825
2023-01-07,Kolkata_Victoria_2023-10-01_2023-11-30,138.29201388888887,184.31840277777778,13.829479166666667,8.424270833333333,1.2200694444444444,46.20427083333333,46.20427083333333
2023-01-07,Mumbai_Bandra_2023-10-01_2023-11-30,,,,,,,
2023-01-08,Chennai_Alandur_2023-10-01_2023-11-30,127.46972222222223,196.05437500000002,42.59878472222223,21.974652777777777,0.8583333333333334,44.736979166666664,44.736979166666664
2023-01-08,Delhi_AnandVihar_2023-10-01_2023-11-30,344.5104166666667,521.4583333333334,97.340625,16.424305555555556,2.8576086956521736,9.7875,9.7875
2023-01-08,Kolkata_Victoria_2023-10-01_2023-11-30,143.28229166666668,198.61111111111111,13.855138888888888,10.239652777777778,1.0594444444444444,50.58958333333334,50.58958333333334
2023-01-08,Mumbai_Bandra_2023-10-01_2023-11-30,,,,,,,
