station,value,pollutant,timestamp,state,city,latitude,longitude,aqi
"Navy Nagar-Colaba, Mumbai - IITM",42.0,NO2,29-06-2026 02:00:00,Maharashtra,Mumbai,19.076,72.8777,42.0
"Khindipada-Bhandup West, Mumbai - IITM",3.0,PM2.5,29-06-2026 02:00:00,Maharashtra,Mumbai,19.076,72.8777,3.0
"Khindipada-Bhandup West, Mumbai - IITM",2.0,NH3,29-06-2026 02:00:00,Maharashtra,Mumbai,19.076,72.8777,2.0
"Khindipada-Bhandup West, Mumbai - IITM",18.0,CO,29-06-2026 02:00:00,Maharashtra,Mumbai,19.076,72.8777,18.0
"Chembur, Mumbai - MPCB",11.0,PM2.5,29-06-2026 02:00:00,Maharashtra,Mumbai,19.076,72.8777,11.0
"Chembur, Mumbai - MPCB",1.0,SO2,29-06-2026 02:00:00,Maharashtra,Mumbai,19.076,72.8777,1.0
"Byculla, Mumbai - BMC",17.0,PM2.5,29-06-2026 02:00:00,Maharashtra,Mumbai,19.076,72.8777,17.0
"Borivali East, Mumbai - IITM",3.0,NH3,29-06-2026 02:00:00,Maharashtra,Mumbai,19.076,72.8777,3.0
"Borivali East, Mumbai - IITM",28.0,CO,29-06-2026 02:00:00,Maharashtra,Mumbai,19.076,72.8777,28.0
"Borivali East, Mumbai - IITM",37.0,OZONE,29-06-2026 02:00:00,Maharashtra,Mumbai,19.076,72.8777,37.0
"Mindspace-Malad West, Mumbai - MPCB",50.0,PM10,29-06-2026 02:00:00,Maharashtra,Mumbai,19.076,72.8777,50.0
"Mindspace-Malad West, Mumbai - MPCB",9.0,NH3,29-06-2026 02:00:00,Maharashtra,Mumbai,19.076,72.8777,9.0
"Mindspace-Malad West, Mumbai - MPCB",3.0,SO2,29-06-2026 02:00:00,Maharashtra,Mumbai,19.076,72.8777,3.0
"Mindspace-Malad West, Mumbai - MPCB",10.0,CO,29-06-2026 02:00:00,Maharashtra,Mumbai,19.076,72.8777,10.0
"Bandra Kurla Complex, Mumbai - IITM",25.0,PM10,29-06-2026 02:00:00,Maharashtra,Mumbai,19.076,72.8777,25.0
"Bandra Kurla Complex, Mumbai - IITM",2.0,NO2,29-06-2026 02:00:00,Maharashtra,Mumbai,19.076,72.8777,2.0
"Bandra Kurla Complex, Mumbai - IITM",2.0,NH3,29-06-2026 02:00:00,Maharashtra,Mumbai,19.076,72.8777,2.0
"Bandra Kurla Complex, Mumbai - IITM",0.0,SO2,29-06-2026 02:00:00,Maharashtra,Mumbai,19.076,72.8777,0.0
"Deonar, Mumbai - IITM",56.0,CO,29-06-2026 02:00:00,Maharashtra,Mumbai,19.076,72.8777,56.0
"Sion, Mumbai - MPCB",36.0,NO2,29-06-2026 02:00:00,Maharashtra,Mumbai,19.076,72.8777,36.0
"Malad West, Mumbai - IITM",7.0,PM2.5,29-06-2026 02:00:00,Maharashtra,Mumbai,19.076,72.8777,7.0
"Ghatkopar, Mumbai - BMC",7.0,NH3,29-06-2026 02:00:00,Maharashtra,Mumbai,19.076,72.8777,7.0
"Sector-2 Murlipura, Jaipur - RSPCB",61.0,PM10,29-06-2026 02:00:00,Rajasthan,Jaipur,26.9124,75.7873,61.0
"Police Commissionerate, Jaipur - RSPCB",5.0,NH3,29-06-2026 02:00:00,Rajasthan,Jaipur,26.9124,75.7873,5.0
"Adarsh Nagar, Jaipur - RSPCB",44.0,OZONE,29-06-2026 02:00:00,Rajasthan,Jaipur,26.9124,75.7873,44.0
"RIICO Sitapura, Jaipur - RSPCB",8.0,NO2,29-06-2026 02:00:00,Rajasthan,Jaipur,26.9124,75.7873,8.0
"RIICO Sitapura, Jaipur - RSPCB",2.0,NH3,29-06-2026 02:00:00,Rajasthan,Jaipur,26.9124,75.7873,2.0
"Mansarovar Sector-12, Jaipur - RSPCB",7.0,NO2,29-06-2026 02:00:00,Rajasthan,Jaipur,26.9124,75.7873,7.0
"Perungudi, Chennai - TNPCB",1.0,SO2,29-06-2026 02:00:00,Tamil Nadu,Chennai,13.0827,80.2707,1.0
"Arumbakkam, Chennai - TNPCB",16.0,PM2.5,29-06-2026 02:00:00,Tamil Nadu,Chennai,13.0827,80.2707,16.0
"Arumbakkam, Chennai - TNPCB",10.0,NO2,29-06-2026 02:00:00,Tamil Nadu,Chennai,13.0827,80.2707,10.0
"Arumbakkam, Chennai - TNPCB",3.0,NH3,29-06-2026 02:00:00,Tamil Nadu,Chennai,13.0827,80.2707,3.0
"Manali Village, Chennai - TNPCB",24.0,PM10,29-06-2026 02:00:00,Tamil Nadu,Chennai,13.0827,80.2707,24.0
"Manali Village, Chennai - TNPCB",0.0,NO2,29-06-2026 02:00:00,Tamil Nadu,Chennai,13.0827,80.2707,0.0
"Manali, Chennai - CPCB",11.0,CO,29-06-2026 02:00:00,Tamil Nadu,Chennai,13.0827,80.2707,11.0
"Manali, Chennai - CPCB",7.0,OZONE,29-06-2026 02:00:00,Tamil Nadu,Chennai,13.0827,80.2707,7.0
"Royapuram, Chennai - TNPCB",36.0,PM2.5,29-06-2026 02:00:00,Tamil Nadu,Chennai,13.0827,80.2707,36.0
"Royapuram, Chennai - TNPCB",12.0,NO2,29-06-2026 02:00:00,Tamil Nadu,Chennai,13.0827,80.2707,12.0
"Royapuram, Chennai - TNPCB",3.0,NH3,29-06-2026 02:00:00,Tamil Nadu,Chennai,13.0827,80.2707,3.0
"Talkatora District Industries Center, Lucknow - CPCB",29.0,NO2,29-06-2026 02:00:00,Uttar Pradesh,Lucknow,26.8467,80.9462,29.0
"Talkatora District Industries Center, Lucknow - CPCB",42.0,CO,29-06-2026 02:00:00,Uttar Pradesh,Lucknow,26.8467,80.9462,42.0
