date,station,PM2.5,PM10,NO2,SO2,CO,O3,O3.1,month,dayofyear,PM2.5_sub_index,PM10_sub_index,NO2_sub_index,SO2_sub_index,CO_sub_index,O3_sub_index,AQI,AQI_category,latitude,longitude
2023-01-01,Chennai_Alandur_2023-10-01_2023-11-30,79.7661111111111,122.72527777777778,32.642291666666665,20.387604166666662,0.9627430555555556,28.797256944444445,28.797256944444445,1,1,165.06362068965512,115.43491610738256,40.80286458333333,25.484505208333328,48.13715277777778,28.797256944444445,165.06362068965512,Moderate,13.0012,80.2014
2023-01-01,Delhi_AnandVihar_2023-10-01_2023-11-30,159.89930555555557,301.3541666666667,94.8375,14.38715277777778,2.491319444444444,13.366666666666667,13.366666666666667,1,1,330.85295542635663,251.35416666666669,114.8375,17.983940972222225,105.90387658227849,13.366666666666667,330.85295542635663,Very Poor,28.6476,77.3158
2023-01-01,Kolkata_Victoria_2023-10-01_2023-11-30,130.07534722222223,160.6392361111111,13.776875,7.898159722222222,1.0759027777777777,63.1871875,63.1871875,1,1,307.96480135658913,140.62606963087248,17.22109375,9.872699652777778,,63.1871875,307.96480135658913,Very Poor,22.5448,88.3426
2023-01-01,Mumbai_Bandra_2023-10-01_2023-11-30,,,,,,,,1,1,,,,,,,,Unknown,19.0544,72.8402
2023-01-02,Chennai_Alandur_2023-10-01_2023-11-30,65.26791666666666,100.41211805555557,27.49361111111111,18.67329861111111,0.8933680555555555,24.59670138888889,24.59670138888889,1,2,115.56978448275862,,34.36701388888889,23.341623263888888,44.66840277777778,24.59670138888889,115.56978448275862,Moderate,13.0012,80.2014
2023-01-02,Delhi_AnandVihar_2023-10-01_2023-11-30,245.54166666666663,389.375,73.71979166666667,14.534375,1.93125,11.221875,11.221875,1,2,396.578488372093,349.0901898734177,92.10948183760684,18.16796875,96.25694444444444,11.221875,396.578488372093,Very Poor,28.6476,77.3158
2023-01-02,Kolkata_Victoria_2023-10-01_2023-11-30,107.29166666666669,143.59375,13.793993055555555,7.299305555555556,1.1074305555555557,42.61802083333333,42.61802083333333,1,2,256.6163793103449,129.30054530201343,17.242491319444444,9.124131944444445,51.40455246913581,42.61802083333333,256.6163793103449,Poor,22.5448,88.3426
2023-01-02,Mumbai_Bandra_2023-10-01_2023-11-30,,,,,,,,1,2,,,,,,,,Unknown,19.0544,72.8402
2023-01-03,Chennai_Alandur_2023-10-01_2023-11-30,77.22159722222223,118.80402777777778,31.60517361111112,17.352708333333336,0.9280555555555556,31.21857638888889,31.21857638888889,1,3,156.37717672413794,112.82952181208054,39.5064670138889,21.69088541666667,46.40277777777778,31.21857638888889,156.37717672413794,Moderate,13.0012,80.2014
2023-01-03,Delhi_AnandVihar_2023-10-01_2023-11-30,270.9583333333333,417.46875,72.07083333333334,13.596875,2.0506944444444444,9.978125,9.978125,1,3,408.9352409638554,384.2962816455696,90.03771367521368,16.99609375,,9.978125,408.9352409638554,Severe,28.6476,77.3158
